2022-12-15 17:23:50,653 TRACE   org.springframework.beans.CachedIntrospectionResults - Found bean property 'problemReporter' of type [org.springframework.beans.factory.parsing.ProblemReporter]
2022-12-15 17:23:50,654 TRACE   org.springframework.beans.CachedIntrospectionResults - Found bean property 'resourceLoader' of type [org.springframework.core.io.ResourceLoader]
2022-12-15 17:23:50,654 TRACE   org.springframework.beans.CachedIntrospectionResults - Found bean property 'sourceExtractor' of type [org.springframework.beans.factory.parsing.SourceExtractor]
2022-12-15 17:23:50,700 TRACE   org.springframework.beans.factory.support.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2022-12-15 17:23:50,714 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2022-12-15 17:23:50,718 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Resolved classpath location [AwesomeCalendar/] to resources [URL [file:/C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/]]
2022-12-15 17:23:50,720 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Looking for matching resources in directory tree [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar]
2022-12-15 17:23:50,720 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
2022-12-15 17:23:50,722 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Controllers] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
2022-12-15 17:23:50,723 TRACE   org.springframework.core.io.support.PathMatchingResourcePatternResolver - Searching directory [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities] for files matching pattern [C:/Users/ariel/StartAtGoogle/CalendarApp/Calendar_Server_Side/target/classes/AwesomeCalendar/**/*.class]
